Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
事件类型,计数项:开始时间,,,2023,2022.0,,,,,,,,,,
PM,37,,ICP,105,39.0,,,,,,,,,,
产品异常,33,,PVD,73,21.0,,,,,,,,,,
其它（未知待观察）,9,,Trim01,73,20.0,,,,,,,,,,
工艺参数异常,4,,ATHK,62,3.0,,,,,,,,,,
设备装置异常,78,,Echo,54,0.0,,,,,,,,,,
设备参数异常,4,,EGUN,51,15.0,,,,,,,,,,
操作不当,15,,CVD,48,18.0,,,,,,,,,,
Parts不良,19,,Scrubber,30,9.0,,,,,,,,,,
厂务端供应异常,14,,AACW,29,7.0,,,,,,,,,,
软件异常,47,,Release,24,16.0,,,,,,,,,,
腔室环境异常,17,,AFM,24,2.0,,,,,,,,,,
耗材消耗,5,,APRF,21,1.0,,,,,,,,,,
总计,282,,ASSW,16,7.0,,,,,,,,,,
,,,Asher,12,9.0,,,,,,,,,,
,,,Lift-off,10,9.0,,,,,,,,,,
,,,打标机,8,2.0,,,,,,,,,,
,,,Particle,6,2.0,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,异常,数量,,,,,,,,,,,
,,,2022,177,,,,,,,,,,,
,,,2023,708,,,,,,,,,,,
,,,2024,37,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Lift-off,1,,,,,,,,,,,
,,,ASTR,1,,,,,,,,,,,
,,,ASSW,1,,,,,,,,,,,
,,,APRF,1,,,,,,,,,,,
,,,AACW,1,,,,,,,,,,,
,,,PVD,2,,,,,,,,,,,
,,,CVD,2,,,,,,,,,,,
,,,AFM,3,,,,,,,,,,,
,,,ICP,4,,,,,,,,,,,
,,,ATHK,5,,,,,,,,,,,
,,,Trim02,10,,,,,,,,,,月份,异常次数
,,,,,,,,,,,,,,1月份,2
,,,设备PM,5,,,,,,,,,,2月份,9
,,,设备装置异常,8,,,,,,,,,,3月份,30
,,,软件异常,6,,,,,,,,,,4月份,21
,,,腔室环境异常,5,,,,,,,,,,5月份,22
,,,未知待观察,4,,,,,,,,,,6月份,85
,,,耗材消耗,3,,,,,,,,,,7月份,91
,,,Parts不良,3,,,,,,,,,,8月份,100
,,,操作不当,1,,,,,,,,,,9月份,69
,,,产品异常,1,,,,,,,,,,10月份,66
,,,,,,,,,,,,,,11月份,105
,,,,,,,,,,,,,,12月份,108
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,W22,13,,,,,,,,,,,
,,,W23,9,,,,,,,,,,,
,,,W24,20,,,,,,,,,,,
,,,W25,33,,,,,,,,,,,
,,,W26,29,,,,,,,,,,,
,,,W27,26,,,,,,,,,,,
,,,W28,16,,,,,,,,,,,
,,,W29,17,,,,,,,,,,,
,,,W30,31,,,,,,,,,,,
,,,W31,24,,,,,,,,,,,
,,,W32,29,,,,,,,,,,,
,,,W33,20,,,,,,,,,,,
,,,W34,24,,,,,,,,,,,
,,,W35,20,,,,,,,,,,,
,,,W36,26,,,,,,,,,,,
,,,W37,28,,,,,,,,,,,
,,,W38,10,,,,,,,,,,,
,,,W39,13,,,,,,,,,,,
,,,W40,17,,,,,,,,,,,
,,,W41,14,,,,,,,,,,,
,,,W42,16,,,,,,,,,,,
,,,W43,18,,,,,,,,,,,
,,,W44,8,,,,,,,,,,,
,,,W45,21,,,,,,,,,,,
,,,W46,18,,,,,,,,,,,
,,,W47,29,,,,,,,,,,,
,,,W48,23,,,,,,,,,,,
,,,W49,45,,,,,,,,,,,
,,,W50,28,,,,,,,,,,,
,,,W51,24,,,,,,,,,,,
,,,W52,31,,,,,,,,,,,
