Tool,<01/01/2024,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,总计
AASH01,,10,,3,6,8,,3,6,2,2,9,4,53
AASH02,,,,,,,,7,6,7,12,1,1,34
ACVD01,,6,,1,,3,3,6,14,1,,2,,36
ACVD01-B,,1,,,1,1,5,4,3,3,7,6,,31
ACVD01-C,,8,2,1,3,3,8,10,6,5,2,7,2,57
AEGN01,,10,6,8,20,19,15,22,24,25,24,15,18,206
AICP01,2,6,,5,4,6,5,6,10,4,1,7,1,57
AICP01-A,,10,6,3,5,1,6,14,7,14,13,9,8,96
AICP01-C,1,8,1,1,2,1,1,5,7,2,8,8,2,47
AICP01-D,,11,2,8,6,1,5,6,15,4,4,4,,66
APVD01,,1,,,1,1,3,7,6,2,5,6,3,35
APVD01-A,,1,,,,,,,,1,,,,2
APVD01-B,,3,,2,4,,1,1,1,,1,3,,16
APVD01-C,,6,7,8,3,3,5,2,4,4,4,6,1,53
APVD01-D,1,5,2,3,6,5,3,1,2,1,13,5,2,49
ATRM01,,6,2,,4,1,4,2,5,6,1,6,,37
ATRM01-B,,,,,,,,,2,,,,,2
ATRM02,,5,,2,,3,8,4,2,5,7,6,3,45
ATRM02-A,1,4,4,9,4,9,4,1,1,2,4,4,2,49
ATRM02-B,,5,,,2,1,4,1,2,3,10,14,1,43
总计,5,106,32,54,71,66,80,102,123,91,118,118,48,1014
