时间,2024年,2023年,GAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1月,153,2,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2月,49,9,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3月,77,30,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4月,93,21,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5月,109,22,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6月,150,85,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7月,170,91,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8月,195,100,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9月,140,69,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月,170,66,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月,182,105,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月,64,108,-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
总计,1558,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
