计数项:事件描述,列标签,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行标签,AACW01,AAFM01,AASH01,AASH02,AASW01,ACLN01,ACVD01,ACVD01-B,ACVD01-C,ADET01,AEGN01,AICP01,AICP01-A,AICP01-B,AICP01-C,AICP01-D,ALIF01,AMTH01,APAC01,APRF01,APVD01,APVD01-A,APVD01-B,APVD01-C,APVD01-D,APVD01-E,AREL01,ASCR01,ASCR02,ASCR03,ASEM01,ASSW01,ASTR01,ATAP01,ATHK01,ATRM01,ATRM01-B,ATRM02,ATRM02-A,ATRM02-B,AWBG01,AWFM01,OM,AXRD01,总计
Parts不良,1,,7,,,,1,1,2,,9,2,3,1,2,4,,,,3,2,,3,6,4,,,,,,,2,1,,9,3,,3,7,12,,,,,88
PM,3,8,4,,1,,,2,11,,120,1,26,1,13,18,47,,,2,8,,6,29,16,,4,1,,,,11,,1,,9,,1,2,4,1,,,1,351
操作不当,,9,1,,,,,1,5,,3,,,,,,,2,,,1,,,,,,2,,,,,1,,,2,4,,3,2,1,2,,,,39
厂务异常,1,,1,,,,1,1,4,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,11
工艺条件异常,,1,9,2,,,,1,9,,8,8,36,2,25,23,,,1,1,2,,7,2,2,1,,,,,,,,,2,1,,1,5,1,2,,,,152
耗材消耗,,40,,,,,,,,,31,,,,,,71,,,,1,,,,2,,9,,,,,2,,2,,2,,,1,1,,,,,162
晶圆异常,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,6,,,,,11
其它,,,,,,,,,,,1,,,,,,,,,,,,,2,,,1,,,,,,,,1,,,,,,1,,,,6
腔室环境异常,,,1,,,,2,1,2,,,3,4,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,16
软件异常,4,5,9,,,,2,,1,,10,3,,,1,12,3,7,2,8,5,,,1,2,,3,,,,2,3,1,,6,,,3,4,2,1,5,1,,106
设备装置异常,29,2,21,32,,2,30,24,20,3,24,40,24,1,6,7,57,13,,31,16,1,,12,21,1,11,11,3,2,,21,1,10,14,17,2,34,23,16,18,1,,1,602
未知异常,,,,,,,,,3,,,,3,,,2,,,,1,,,,1,,,1,,,,,,,,1,1,,,1,,,,,,14
总计,38,65,53,34,1,2,36,31,57,3,206,57,96,5,47,66,179,22,3,47,35,2,16,53,49,2,31,12,3,2,2,42,3,13,35,37,2,45,49,43,25,6,1,2,1558
